state,date,cum_cases,cum_deaths
Texas,2020-06-23,124726,2246
Virginia,2020-06-23,58994,1645
Wisconsin,2020-06-23,25496,751
Indiana,2020-06-24,44260,2578
Washington,2020-03-05,225,15
California,2020-03-06,405,9
Washington,2020-03-06,86,12
Massachusetts,2020-03-12,432,5
Illinois,2020-03-15,188,2
New Jersey,2020-03-15,294,3
Nevada,2020-03-18,164,3
Ohio,2020-03-18,450,1
California,2020-03-19,2134,38
Colorado,2020-03-19,556,12
New York,2020-03-19,4161,39
Texas,2020-03-19,744,16
Nevada,2020-03-20,990,8
Colorado,2020-03-21,950,26
Indiana,2020-03-21,256,8
Colorado,2020-03-22,591,7
Louisiana,2020-03-22,1674,30
Wisconsin,2020-03-22,382,4
Arizona,2020-03-23,234,2
Texas,2020-03-23,1456,24
Utah,2020-03-23,257,1
Connecticut,2020-03-24,618,12
Alabama,2020-03-25,386,1
Mississippi,2020-03-25,1504,28
Nevada,2020-03-25,405,10
Utah,2020-03-25,692,3
Washington,2020-03-26,3208,151
Arizona,2020-03-27,665,15
Arkansas,2020-03-27,770,8
Illinois,2020-03-27,3029,37
Ohio,2020-03-27,5720,108
Puerto Rico,2020-03-27,79,3
Utah,2020-03-27,960,13
Arizona,2020-03-28,773,15
Arkansas,2020-03-28,1636,25
Florida,2020-03-28,8076,204
West Virginia,2020-03-28,113,0
Kentucky,2020-03-29,1317,32
Nevada,2020-03-29,920,15
New Jersey,2020-03-30,16636,199
North Carolina,2020-03-30,1302,6
Pennsylvania,2020-03-30,4156,48
Rhode Island,2020-03-30,816,9
Delaware,2020-03-31,1276,29
Hawaii,2020-03-31,448,6
Illinois,2020-04-01,6978,146
Kentucky,2020-04-01,674,20
Nevada,2020-04-01,1279,32
Pennsylvania,2020-04-01,5805,74
Maryland,2020-04-02,2331,36
Virginia,2020-04-03,2011,46
Washington,2020-04-03,6967,293
Wisconsin,2020-04-03,1916,49
Mississippi,2020-04-04,1455,35
Colorado,2020-04-05,4950,140
Delaware,2020-04-05,1346,31
Tennessee,2020-04-05,3538,50
Vermont,2020-04-05,512,22
Connecticut,2020-04-06,6906,206
South Carolina,2020-04-06,4464,115
Maryland,2020-04-07,4371,104
Wyoming,2020-04-08,230,0
Alaska,2020-04-09,233,5
Mississippi,2020-04-09,2260,76
Nevada,2020-04-09,2456,82
Indiana,2020-04-10,6960,353
Washington,2020-04-10,9888,483
Indiana,2020-04-11,7494,389
Oklahoma,2020-04-11,1868,93
Wisconsin,2020-04-11,9639,281
California,2020-04-12,23323,676
Connecticut,2020-04-12,12035,554
District of Columbia,2020-04-12,3750,147
Iowa,2020-04-12,3174,82
Kansas,2020-04-12,1337,56
Missouri,2020-04-12,4160,116
Nebraska,2020-04-12,1610,24
Oklahoma,2020-04-12,1970,96
Tennessee,2020-04-12,5144,107
Maryland,2020-04-13,8936,262
Mississippi,2020-04-13,8826,323
Tennessee,2020-04-13,5483,114
Vermont,2020-04-13,1496,42
Colorado,2020-04-14,7941,329
Connecticut,2020-04-14,13989,671
Mississippi,2020-04-14,3087,111
Montana,2020-04-14,1197,23
Alabama,2020-04-15,4241,123
Arkansas,2020-04-15,1599,34
Illinois,2020-04-15,24593,958
Indiana,2020-04-15,9030,511
Iowa,2020-04-15,1995,53
Washington,2020-04-15,10806,572
Oregon,2020-04-17,1785,70
California,2020-04-18,30829,1146
Kansas,2020-04-18,1818,86
West Virginia,2020-04-18,1650,60
Connecticut,2020-04-19,17962,1127
Kansas,2020-04-19,1896,94
Maryland,2020-04-19,12892,548
South Dakota,2020-04-19,1635,7
Missouri,2020-04-20,5807,201
Nevada,2020-04-20,3830,163
California,2020-04-21,35844,1316
Illinois,2020-04-21,33059,1479
Guam,2020-04-22,911,6
Pennsylvania,2020-04-22,36763,1720
West Virginia,2020-04-22,1878,46
Arizona,2020-04-23,5769,257
Mississippi,2020-04-23,5153,201
North Carolina,2020-04-23,7608,253
South Carolina,2020-04-23,4917,150
Tennessee,2020-04-23,8169,172
Connecticut,2020-04-24,23921,1764
Maine,2020-04-24,965,47
Rhode Island,2020-04-24,6699,202
Wisconsin,2020-04-24,5356,262
District of Columbia,2020-04-25,3699,165
Idaho,2020-04-25,1887,56
North Carolina,2020-04-25,8542,300
West Virginia,2020-04-26,1053,34
California,2020-04-27,45208,1800
Florida,2020-04-27,32130,1087
Michigan,2020-04-27,38456,3406
Virginia,2020-04-27,13534,458
Missouri,2020-04-28,7306,324
New Hampshire,2020-04-29,2054,66
Connecticut,2020-04-30,27700,2257
Virginia,2020-04-30,15846,552
Illinois,2020-05-02,58505,2576
Texas,2020-05-02,31433,875
Wisconsin,2020-05-02,7660,334
North Carolina,2020-05-03,11668,436
North Dakota,2020-05-03,4764,43
Louisiana,2020-05-04,29746,2064
Mississippi,2020-05-04,7877,310
Nebraska,2020-05-04,6123,78
New Hampshire,2020-05-04,5176,185
Wisconsin,2020-05-04,8236,340
Indiana,2020-05-05,21423,1326
Nevada,2020-05-05,11330,349
Ohio,2020-05-05,20969,1135
South Carolina,2020-05-05,6841,296
Iowa,2020-05-06,10404,219
Tennessee,2020-05-06,13737,237
Wisconsin,2020-05-06,8901,362
Nevada,2020-05-07,5858,293
New York,2020-05-07,332931,26206
North Carolina,2020-05-07,13431,521
Pennsylvania,2020-05-07,56149,3599
South Carolina,2020-05-07,7142,316
Wyoming,2020-05-07,635,7
Alabama,2020-05-08,9385,383
Florida,2020-05-08,39191,1668
Georgia,2020-05-08,31089,1378
Missouri,2020-05-08,9573,481
Oklahoma,2020-05-08,4424,266
Florida,2020-05-09,39993,1714
New Jersey,2020-05-09,137085,9116
Virginia,2020-05-09,23196,827
Connecticut,2020-05-10,33554,2967
South Dakota,2020-05-10,3517,34
Arizona,2020-05-11,11380,542
California,2020-05-11,69514,2820
District of Columbia,2020-05-11,6389,328
Illinois,2020-05-12,83168,3617
Puerto Rico,2020-05-12,2299,114
Florida,2020-05-13,42394,1826
Massachusetts,2020-05-13,80497,5315
North Dakota,2020-05-13,1647,40
Washington,2020-05-13,18492,977
Iowa,2020-05-14,13675,318
Nevada,2020-05-14,6604,339
New Mexico,2020-05-14,5503,242
Vermont,2020-05-14,932,53
Iowa,2020-05-15,14049,336
Oregon,2020-05-15,3541,137
Wisconsin,2020-05-16,12368,453
Alabama,2020-05-17,11771,488
Missouri,2020-05-17,11069,601
New Jersey,2020-05-17,146334,10356
Maine,2020-05-18,1713,71
Texas,2020-05-18,49788,1362
Arkansas,2020-05-19,4923,102
Massachusetts,2020-05-19,87925,5938
New Jersey,2020-05-19,149013,10586
Pennsylvania,2020-05-19,67404,4675
Florida,2020-05-20,47463,2095
Texas,2020-05-20,52369,1443
Colorado,2020-05-21,23161,1310
Oregon,2020-05-21,3817,145
North Carolina,2020-05-22,21661,754
Oregon,2020-05-22,3864,147
South Carolina,2020-05-22,9638,419
Texas,2020-05-22,54369,1498
Puerto Rico,2020-05-23,3100,127
Arizona,2020-05-24,16339,800
Connecticut,2020-05-24,40468,3693
Delaware,2020-05-25,8965,332
Indiana,2020-05-25,32489,1984
Michigan,2020-05-25,54816,5240
South Dakota,2020-05-25,4586,50
Wisconsin,2020-05-25,15646,514
Georgia,2020-05-26,42066,1867
Iowa,2020-05-26,17999,480
Missouri,2020-05-26,12437,698
New Hampshire,2020-05-26,4231,214
North Carolina,2020-05-26,24188,789
Oregon,2020-05-26,3967,148
Illinois,2020-05-27,114612,5118
Kansas,2020-05-27,9453,207
Maryland,2020-05-27,49042,2392
New Jersey,2020-05-27,156628,11339
New York,2020-05-27,369801,29339
Montana,2020-05-28,485,17
Ohio,2020-05-28,33915,2098
Rhode Island,2020-05-28,14494,677
Iowa,2020-05-29,19019,525
Arizona,2020-05-30,19255,903
California,2020-05-30,110100,4214
Connecticut,2020-05-30,42022,3912
Indiana,2020-05-30,35064,2125
Louisiana,2020-05-30,39682,2785
Maine,2020-05-30,2282,89
New Mexico,2020-05-30,7624,351
North Dakota,2020-05-30,2557,63
Oklahoma,2020-05-30,6418,334
Texas,2020-05-30,63396,1676
Utah,2020-05-30,9551,112
Connecticut,2020-05-31,42201,3944
Montana,2020-05-31,515,17
Louisiana,2020-06-01,40452,2801
Utah,2020-06-02,10237,113
Iowa,2020-06-03,20376,574
Maryland,2020-06-03,55617,2641
Mississippi,2020-06-03,16322,782
New York,2020-06-03,378924,29918
South Carolina,2020-06-03,12651,518
Kansas,2020-06-04,10332,230
Florida,2020-06-05,61480,2659
Maine,2020-06-05,2482,98
Washington,2020-06-05,24546,1160
Delaware,2020-06-06,19690,830
Kansas,2020-06-06,10517,234
Nebraska,2020-06-06,15543,196
New Hampshire,2020-06-06,5019,283
Vermont,2020-06-06,1046,55
West Virginia,2020-06-06,2136,84
Nevada,2020-06-07,9673,438
Ohio,2020-06-07,38476,2377
Virginia,2020-06-07,50681,1472
Alabama,2020-06-08,20925,718
Kansas,2020-06-08,10724,237
Kentucky,2020-06-08,11701,487
Louisiana,2020-06-08,43163,2944
New Hampshire,2020-06-08,5079,286
New Jersey,2020-06-08,164497,12214
California,2020-06-09,137245,4775
Connecticut,2020-06-09,44179,4097
North Dakota,2020-06-09,2904,75
Oregon,2020-06-09,5022,169
Mississippi,2020-06-10,36966,1736
Rhode Island,2020-06-10,15756,812
Utah,2020-06-10,12982,128
District of Columbia,2020-06-11,9589,502
New Mexico,2020-06-11,9368,421
South Carolina,2020-06-11,16441,588
Tennessee,2020-06-11,28766,441
Wyoming,2020-06-11,1009,18
Delaware,2020-06-12,10173,414
Hawaii,2020-06-12,694,17
Tennessee,2020-06-12,29218,461
Arkansas,2020-06-13,12095,177
Arkansas,2020-06-14,12501,179
Illinois,2020-06-14,133719,6512
Mississippi,2020-06-14,19516,891
Montana,2020-06-14,601,19
Arkansas,2020-06-15,12917,182
California,2020-06-15,155662,5120
North Dakota,2020-06-15,3104,77
Texas,2020-06-15,91727,2018
Utah,2020-06-15,14757,143
Vermont,2020-06-15,3390,165
Wyoming,2020-06-15,1079,18
South Carolina,2020-06-17,20556,617
West Virginia,2020-06-17,2376,88
Colorado,2020-06-18,29886,1638
Kansas,2020-06-19,12168,254
Oregon,2020-06-19,6579,188
Tennessee,2020-06-19,33603,508
Wisconsin,2020-06-19,24313,730
New Mexico,2020-06-20,10430,466
South Carolina,2020-06-20,23786,644
Kentucky,2020-06-21,13919,544
Maine,2020-06-21,2957,102
Connecticut,2020-06-22,45782,4263
Virginia,2020-06-22,58465,1620
Idaho,2020-06-23,4412,90
Minnesota,2020-06-23,33501,1425
Connecticut,2020-06-24,45913,4287
District of Columbia,2020-06-24,10128,541
Guam,2020-06-24,1200,6
Kentucky,2020-06-24,14522,561
Louisiana,2020-06-24,52590,3152
Mississippi,2020-06-24,23424,1011
Rhode Island,2020-06-24,16606,912
Nebraska,2020-02-24,216,2
New York,2020-03-11,651,7
New Jersey,2020-03-12,261,4
Oregon,2020-03-12,780,35
Washington,2020-03-13,1022,46
Colorado,2020-03-14,309,7
New York,2020-03-14,1220,18
California,2020-03-15,956,22
Colorado,2020-03-15,408,5
Massachusetts,2020-03-15,328,5
Pennsylvania,2020-03-15,408,6
Colorado,2020-03-16,483,8
Illinois,2020-03-16,416,1
New York,2020-03-16,1900,64
Tennessee,2020-03-16,156,2
Utah,2020-03-16,40,0
Louisiana,2020-03-17,392,5
Connecticut,2020-03-18,192,1
Maryland,2020-03-18,170,2
Louisiana,2020-03-19,1176,20
Illinois,2020-03-20,583,5
Alabama,2020-03-21,131,0
Missouri,2020-03-21,186,4
Wisconsin,2020-03-21,843,14
New York,2020-03-22,15188,142
New Jersey,2020-03-23,2844,27
Arkansas,2020-03-24,693,9
California,2020-03-24,2644,52
Michigan,2020-03-24,1791,24
Minnesota,2020-03-25,287,1
Pennsylvania,2020-03-25,2302,58
Arizona,2020-03-26,1016,15
Illinois,2020-03-26,7614,160
New Hampshire,2020-03-26,316,10
Virginia,2020-03-26,603,14
Alabama,2020-03-27,1278,21
