World,"6,499,359","58,077","383,897","2,038","3,094,473","3,020,989","54,489",834,49.3,,,,
92,Cuba,"2,107",15,83,,"1,830",194,4,186,7,"110,349","9,742","11,327,122"
93,Mayotte,"1,993",7,24,,"1,523",446,9,"7,321",88,"7,600","27,916","272,246"
94,Estonia,"1,880",10,69,1,"1,650",161,,"1,417",52,"86,000","64,834","1,326,469"
95,Kyrgyzstan,"1,871",26,20,3,"1,265",586,5,287,3,"119,124","18,284","6,515,345"
96,Maldives,"1,841",,7,,608,"1,226",9,"3,411",13,"11,775","21,815","539,755"
97,Venezuela,"1,819",,18,,334,"1,467",,64,0.6,"987,902","34,734","28,441,746"
98,Iceland,"1,806",,10,,"1,794",2,,"5,295",29,"61,156","179,305","341,073"
99,Sri Lanka,"1,730",47,11,,836,883,1,81,0.5,"68,204","3,186","21,406,454"
100,Lithuania,"1,684",2,71,,"1,260",353,17,618,26,"315,112","115,645","2,724,816"
101,Slovakia,"1,525",3,28,,"1,375",122,,279,5,"181,629","33,269","5,459,447"
102,New Zealand,"1,504",,22,,"1,481",1,,301,4,"283,525","56,681","5,002,100"
103,Ethiopia,"1,486",142,17,3,246,"1,223",6,13,0.1,"120,429","1,050","114,716,477"
104,Slovenia,"1,477",2,109,,"1,358",10,,710,52,"81,873","39,383","2,078,917"
105,Mali,"1,351",,78,,769,504,,67,4,"3,483",172,"20,198,890"
106,Guinea-Bissau,"1,339",,8,,53,"1,278",,682,4,"1,500",764,"1,963,994"
107,Equatorial Guinea,"1,306",,12,,200,"1,094",,934,9,"8,268","5,911","1,398,773"
108,Lebanon,"1,256",14,27,,724,505,5,184,4,"88,310","12,934","6,827,622"
109,Albania,"1,184",20,33,,898,253,4,411,11,"15,365","5,339","2,878,026"
110,CAR,"1,173",104,4,,23,"1,146",,243,0.8,"15,881","3,293","4,822,822"
111,Nicaragua,"1,118",,46,,370,702,,169,7,,,"6,618,269"
112,Costa Rica,"1,105",,10,,682,413,5,217,2,"27,318","5,366","5,090,477"
113,Hong Kong,"1,094",,4,,"1,039",51,2,146,0.5,"202,930","27,085","7,492,253"
114,Zambia,"1,089",,7,,912,170,1,59,0.4,"28,236","1,540","18,338,338"
115,Tunisia,"1,087",1,49,1,965,73,1,92,4,"53,161","4,502","11,808,852"
116,Latvia,"1,079",8,24,,760,295,3,572,13,"112,965","59,845","1,887,615"
117,Paraguay,"1,013",,11,,498,504,2,142,2,"32,106","4,506","7,125,533"
118,South Sudan,994,,10,,6,978,,89,0.9,"3,356",300,"11,183,272"
119,Niger,960,,65,,848,47,,40,3,"6,068",252,"24,124,865"
120,Cyprus,958,6,17,,790,151,4,794,14,"117,411","97,301","1,206,680"
121,Sierra Leone,909,13,47,1,491,371,,114,6,,,"7,963,305"
122,Madagascar,908,63,6,,195,707,9,33,0.2,"11,954",433,"27,628,869"
123,Burkina Faso,884,3,53,,753,78,,42,3,,,"20,852,679"
124,Andorra,851,7,51,,735,65,7,"11,015",660,"3,750","48,540","77,256"
125,Uruguay,826,,23,,691,112,4,238,7,"45,226","13,023","3,472,823"
126,Chad,803,,66,,562,175,,49,4,,,"16,383,919"
127,Georgia,800,4,13,,640,147,6,201,3,"60,273","15,107","3,989,722"
128,Jordan,757,2,9,,549,199,5,74,0.9,"204,374","20,046","10,195,163"
129,Diamond Princess,712,,13,,651,48,4,,,,,
130,San Marino,674,2,42,,391,241,1,"19,867","1,238","4,662","137,417","33,926"
131,Mauritania,668,,31,,55,582,,144,7,"7,654","1,650","4,638,948"
132,Malta,622,2,9,,562,51,1,"1,409",20,"71,723","162,470","441,455"
133,Congo,611,,20,,179,412,,111,4,,,"5,506,313"
134,Jamaica,590,2,9,,356,225,2,199,3,"13,407","4,529","2,960,188"
135,Channel Islands,560,,46,,512,2,,"3,223",265,"10,255","59,026","173,737"
136,French Guiana,533,16,1,,254,278,3,"1,789",3,,,"298,005"
137,Tanzania,509,,21,,183,305,7,9,0.4,,,"59,583,009"
138,Uganda,507,18,,,82,425,,11,,"96,825","2,123","45,610,068"
139,Sao Tome and Principe,484,,12,,68,404,,"2,212",55,175,800,"218,820"
140,Réunion,478,1,1,,411,66,1,534,1,"17,200","19,222","894,819"
141,Cabo Verde,477,11,5,,238,234,,859,9,"1,307","2,353","555,509"
142,Palestine,451,,3,,372,76,,89,0.6,"44,876","8,814","5,091,224"
143,Togo,445,,13,,230,202,,54,2,"20,948","2,535","8,262,031"
144,Taiwan,443,,7,,428,8,,19,0.3,"72,683","3,052","23,813,566"
145,Yemen,399,,87,,15,297,,13,3,120,4,"29,769,965"
146,Rwanda,384,,2,,269,113,,30,0.2,"70,108","5,424","12,924,353"
147,Malawi,358,,4,,42,312,1,19,0.2,"5,049",265,"19,086,759"
148,Isle of Man,336,,24,,311,1,,"3,953",282,"5,003","58,860","84,999"
149,Mauritius,335,,10,,322,3,,263,8,"122,008","95,948","1,271,611"
150,Vietnam,328,,,,302,26,1,3,,"275,000","2,827","97,270,089"
151,Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","628,060"
152,Liberia,316,5,28,,169,119,,63,6,,,"5,047,450"
153,Mozambique,307,,2,,98,207,,10,0.06,"11,239",360,"31,177,845"
154,Eswatini,294,,3,,198,93,,254,3,"4,994","4,308","1,159,216"
155,Benin,244,,3,,148,93,,20,0.2,"34,682","2,867","12,095,391"
156,Myanmar,233,1,6,,145,82,,4,0.1,"29,923",550,"54,381,717"
157,Zimbabwe,206,,4,,29,173,,14,0.3,"46,613","3,140","14,845,362"
158,Martinique,200,,14,,98,88,,533,37,,,"375,286"
159,Faeroe Islands,187,,,,187,0,,"3,828",,"9,677","198,100","48,849"
160,Mongolia,185,,,,44,141,19,57,,"14,623","4,466","3,273,961"
161,Libya,182,,5,,52,125,,27,0.7,"6,714",978,"6,863,756"
162,Gibraltar,173,1,,,153,20,,"5,135",,"8,205","243,530","33,692"
163,Guadeloupe,162,,14,,138,10,1,405,35,"4,137","10,339","400,119"
164,Guyana,153,,12,,70,71,2,195,15,"1,658","2,109","786,264"
165,Cayman Islands,151,,1,,77,73,,"2,300",15,"12,003","182,803","65,661"
166,Bermuda,141,,9,,113,19,2,"2,263",144,"7,649","122,789","62,294"
167,Brunei,141,,2,,138,1,1,323,5,"19,885","45,488","437,150"
168,Comoros,132,,2,,27,103,,152,2,,,"868,029"
169,Cambodia,125,,,,123,2,1,7,,"21,517","1,288","16,700,273"
170,Syria,123,,6,,50,67,,7,0.3,,,"17,463,880"
171,Trinidad and Tobago,117,,8,,108,1,,84,6,"3,195","2,284","1,399,147"
172,Bahamas,102,,11,,49,42,1,260,28,"2,101","5,347","392,949"
173,Aruba,101,,3,,98,0,,946,28,"2,134","19,994","106,732"
174,Monaco,99,,4,,90,5,1,"2,524",102,"16,200","413,044","39,221"
175,Barbados,92,,7,,76,9,1,320,24,"5,499","19,137","287,349"
176,Angola,86,,4,,18,64,1,3,0.1,"10,000",305,"32,773,880"
177,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,610","38,120"
178,Sint Maarten,77,,15,,60,2,1,"1,798",350,450,"10,505","42,837"
179,Burundi,63,,1,,33,29,,5,0.08,284,24,"11,859,049"
180,French Polynesia,60,,,,60,0,,214,,"4,040","14,388","280,784"
181,Suriname,54,,1,,9,44,,92,2,782,"1,334","586,221"
182,Bhutan,47,,,,9,38,,61,,"17,898","23,216","770,934"
183,Macao,45,,,,45,0,,69,,,,"648,621"
184,Saint Martin,41,,3,,33,5,1,"1,062",78,614,"15,902","38,612"
185,Botswana,40,,1,,23,16,,17,0.4,"23,337","9,941","2,347,627"
186,Eritrea,39,,,,39,0,,11,,,,"3,542,456"
187,Antigua and Barbuda,26,,3,,20,3,1,266,31,246,"2,514","97,866"
188,St. Vincent Grenadines,26,,,,15,11,,234,,593,"5,346","110,914"
189,Gambia,25,,1,,20,4,,10,0.4,"1,756",728,"2,410,649"
190,Namibia,25,,,,16,9,,10,,"3,970","1,565","2,537,081"
191,Timor-Leste,24,,,,24,0,,18,,"1,568","1,191","1,316,345"
192,Grenada,23,,,,18,5,2,204,,"3,516","31,258","112,483"
193,Curaçao,20,,1,,15,4,,122,6,572,"3,487","164,042"
194,New Caledonia,20,,,,18,2,,70,,"6,681","23,419","285,282"
195,Laos,19,,,,18,1,,3,,"7,491","1,031","7,266,993"
196,Belize,18,,2,,16,0,,45,5,"1,572","3,959","397,028"
197,Dominica,18,,,,16,2,,250,,534,"7,419","71,973"
198,Fiji,18,,,,15,3,,20,,"2,431","2,713","895,943"
199,Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","183,563"
200,Saint Kitts and Nevis,15,,,,15,0,,282,,396,"7,448","53,170"
201,Falkland Islands,13,,,,13,0,,"3,745",,503,"144,915","3,471"
202,Greenland,13,,,,11,2,,229,,"2,174","38,300","56,763"
203,Turks and Caicos,12,,1,,11,0,,310,26,153,"3,956","38,675"
204,Vatican City,12,,,,2,10,,"14,981",,,,801
205,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992"
206,Seychelles,11,,,,11,0,,112,,,,"98,300"
207,MS Zaandam,9,,2,,,7,,,,,,
208,Western Sahara,9,,1,,6,2,,15,2,,,"596,066"
209,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,216"
210,Papua New Guinea,8,,,,8,0,,0.9,,"4,646",520,"8,932,864"
211,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,181","26,204"
212,St. Barth,6,,,,6,0,,608,,137,"13,873","9,875"
213,Lesotho,4,2,,,2,2,,2,,283,132,"2,140,931"
214,Anguilla,3,,,,3,0,,200,,41,"2,735","14,993"
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796"
